Date,TimeStep,SPEI_Akron,SPEI_Ftc,SPEI_Greeley,SPEI_Leroy,SPEI_avg,SPEI_min,SPEI_max,location,year,month,SPEI_Hayden,SPEI_Montrose2,SPEI_Rangely,SPEI_Walden,SPEI_CheyenneWells,SPEI_Flagler,SPEI_Lamar,SPEI_RockyFord2,SPEI_Trinidad,SPEI_Walsh,SPEI_FtLewis,SPEI_MesaVerde,SPEI_Vallecito,SPEI_AlamosaSLV,SPEI_SandDunes,SPEI_LakeGeorge
2020-05-01,1,NA,NA,NA,NA,-1.3077005000000002,-1.418412,-1.196989,EC,2020,5,NA,NA,NA,NA,-1.196989,-1.418412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,NA,NA,NA,NA,2.245498,2.009773,2.481223,EC,2020,5,NA,NA,NA,NA,2.009773,2.481223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,NA,NA,NA,NA,0.5155885,-0.502359,1.533536,EC,2020,5,NA,NA,NA,NA,-0.502359,1.533536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,NA,NA,NA,NA,1.5716765,1.213542,1.929811,EC,2020,5,NA,NA,NA,NA,1.929811,1.213542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,1,NA,NA,NA,NA,-0.23747649999999998,-1.000354,0.525401,EC,2020,6,NA,NA,NA,NA,-1.000354,0.525401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,1,NA,NA,NA,NA,-0.068723,-0.173379,0.035933,EC,2020,6,NA,NA,NA,NA,-0.173379,0.035933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,1,NA,NA,NA,NA,-0.12031649999999999,-0.168761,-0.071872,EC,2020,6,NA,NA,NA,NA,-0.071872,-0.168761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,1,NA,NA,NA,NA,1.532394,1.310146,1.754642,EC,2020,6,NA,NA,NA,NA,1.754642,1.310146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,1,NA,NA,NA,NA,0.8618979999999999,0.170064,1.553732,EC,2020,6,NA,NA,NA,NA,1.553732,0.170064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,1,NA,NA,NA,NA,0.820343,0.478742,1.161944,EC,2020,6,NA,NA,NA,NA,1.161944,0.478742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,1,NA,NA,NA,NA,-0.3730795,-0.677621,-0.068538,EC,2020,6,NA,NA,NA,NA,-0.677621,-0.068538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,1,NA,NA,NA,NA,-0.0470135,-0.306234,0.212207,EC,2020,6,NA,NA,NA,NA,-0.306234,0.212207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,1,NA,NA,NA,NA,-0.767204,-0.990975,-0.543433,EC,2020,6,NA,NA,NA,NA,-0.990975,-0.543433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,1,NA,NA,NA,NA,0.96546,0.265959,1.664961,EC,2020,6,NA,NA,NA,NA,0.265959,1.664961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,1,NA,NA,NA,NA,-1.356525,-1.492835,-1.220215,EC,2020,6,NA,NA,NA,NA,-1.492835,-1.220215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,1,NA,NA,NA,NA,-0.5439695,-0.725721,-0.362218,EC,2020,6,NA,NA,NA,NA,-0.725721,-0.362218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,1,NA,NA,NA,NA,-1.9604270000000001,-2.159822,-1.761032,EC,2020,6,NA,NA,NA,NA,-1.761032,-2.159822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,1,NA,NA,NA,NA,-0.7895605,-0.929059,-0.650062,EC,2020,6,NA,NA,NA,NA,-0.650062,-0.929059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
